wlhbdp@bdp-platform org.apache.cxf:cxf-testutils
starblues-zhuo@springboot-plugin-framework-parent org.mybatis:mybatis-spring
wlhbdp@bdp-platform org.glassfish.hk2:hk2-core
GateNLP@gate-core lucene:lucene
codefollower@Tomcat-Research org.eclipse.jetty.websocket:websocket-common
wlhbdp@bdp-platform org.jboss.forge.addon:maven-impl
wlhbdp@bdp-platform junit:junit
codefollower@Tomcat-Research org.keycloak:keycloak-core
dibo-software@diboot org.apache.shiro:shiro-core
sofastack@sofa-tracer com.stormpath.sdk:stormpath-sdk-api
neilalexander@jnacl io.hawt:hawtio-system
alibaba@Sentinel org.slf4j:slf4j-api
majianzheng@jarboot org.jboss:jboss-common-core
FasterXML@jackson-databind com.fasterxml.jackson.module:jackson-module-jaxb-annotations
apache@openwebbeans org.apache.deltaspike.core:deltaspike-core-api
GateNLP@gate-core org.glassfish.hk2:osgi-adapter
starblues-zhuo@springboot-plugin-framework-parent org.apache.maven.plugins:maven-shade-plugin
wlhbdp@bdp-platform org.jboss.ironjacamar:ironjacamar-jdbc
MorphiaOrg@morphia dev.morphia.morphia:morphia-core
wlhbdp@bdp-platform com.baomidou:mybatis-plus
apache@openwebbeans org.apache.cxf:cxf-common-utilities
yeshodhan@android-jaxb com.sun.xml.bind:jaxb-xjc
yeshodhan@android-jaxb org.camunda.bpm.model:camunda-bpmn-model
mercyblitz@dubbo-registry-nacos org.apache.dubbo:dubbo-registry-nacos
wlhbdp@bdp-platform io.debezium:debezium-core
eclipse-vertx@vertx-sql-client io.vertx:vertx-mysql-client
apache@james-mime4j org.apache.james:apache-mime4j-dom
FasterXML@jackson-databind com.fasterxml.jackson.datatype:jackson-datatype-guava
geosdi@geo-platform com.fasterxml.jackson.datatype:jackson-datatype-jsr310
MorphiaOrg@morphia io.quarkus:quarkus-mongodb-client
jakartaee@rest org.jboss.resteasy:resteasy-client-microprofile
wlhbdp@bdp-platform org.apache.flume:flume-ng-sdk
GateNLP@gate-core org.apache.lucene:lucene-core
wlhbdp@bdp-platform io.ratpack:ratpack-core
thothbot@parallax org.apache.nifi:nifi-utils
wlhbdp@bdp-platform io.airlift:slice
apache@maven-plugin-tools org.apache.maven.plugin-tools:maven-plugin-tools-annotations
wlhbdp@bdp-platform org.jbpm:jbpm-flow
jruby@jruby-openssl org.jruby:jruby-core
wlhbdp@bdp-platform io.prestosql:presto-main
airlift@slice com.carrotsearch.randomizedtesting:randomizedtesting-runner
wlhbdp@bdp-platform org.apache.tinkerpop:gremlin-core
xiaoguichao@mr com.lmax:disruptor
lazee@freemarker-java-8 no.api.freemarker:freemarker-java8
MorphiaOrg@morphia org.kie.server:kie-server-controller-api
wlhbdp@bdp-platform com.jfinal:jfinal-weixin
vert-x3@vertx-grpc io.vertx:vertx-grpc
codefollower@Tomcat-Research javax.jcr:jcr
geosdi@geo-platform com.gwtplatform:gwtp-mvp-client
majianzheng@jarboot org.jboss.netty:netty
