opentimestamps@java-opentimestamps org.bouncycastle:bcprov-jdk15on
datanucleus@datanucleus-core org.easymock:easymock
datanucleus@datanucleus-core org.apache.aries.spifly:org.apache.aries.spifly.dynamic.bundle
mailjet@mailjet-apiv3-java net.sf.biweekly:biweekly
spring-cloud@spring-cloud-stream-binder-kafka org.springframework.cloud:spring-cloud-stream-binder-kafka
wlhbdp@bdp-platform io.debezium:debezium-connector-postgres
splicemachine@spliceengine com.google.guava:guava
GateNLP@gate-core lucene:lucene
hiwepy@disruptor-spring-boot-starter org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-context
xiao-akatsuki@axios org.jodd:jodd-core
sofastack@sofa-tracer com.lmax:disruptor
mercadolibre@java-sdk io.kubernetes:client-java-api
bootique@bootique com.fasterxml.jackson.datatype:jackson-datatype-jsr310
itfsw@QueryBuilder org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-core
vert-x3@vertx-config io.vertx:vertx-config-spring-config-server
rrd4j@rrd4j org.rrd4j:rrd4j
wlhbdp@bdp-platform org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-core
starblues-zhuo@springboot-plugin-framework-parent org.springframework.boot:spring-boot-loader
apache@directory-server org.apache.directory.server:apacheds-core
ShiftLeftSecurity@tinkergraph-gremlin org.apache.tinkerpop:tinkergraph-gremlin
mickleness@pumpernickel org.openjfx:javafx-graphics
wlhbdp@bdp-platform com.alibaba.nacos:nacos-client
wlhbdp@bdp-platform org.apache.iceberg:iceberg-api
wlhbdp@bdp-platform io.prestosql:presto-jdbc
eclipse-vertx@vertx-sql-client io.vertx:vertx-db2-client
FasterXML@jackson-module-jaxb-annotations net.sf.ehcache:ehcache
swagger-api@swagger-parser io.swagger.parser.v3:swagger-parser-v2-converter
eclipse-vertx@vertx-sql-client io.vertx:vertx-pg-client
apache@james-mime4j org.apache.james:apache-mime4j-core
antlr@antlr4 com.adobe.aem:uber-jar
javaee@servlet-spec javax.servlet:javax.servlet-api
spring-cloud@spring-cloud-stream-binder-kafka org.springframework.cloud:spring-cloud-stream-binder-kafka-core
nutzam@nutz org.apache.xbean:xbean-asm5-shaded
jruby@jruby-openssl org.jruby:jruby-core
wlhbdp@bdp-platform com.google.guava:guava
wlhbdp@bdp-platform io.prestosql:presto-matching
wlhbdp@bdp-platform io.prestosql:presto-spi
datanucleus@datanucleus-core org.datanucleus:datanucleus-core
apache@tika com.adobe.aem:uber-jar
lazee@freemarker-java-8 no.api.freemarker:freemarker-java8
nutzam@nutz org.datanucleus:datanucleus-core
wlhbdp@bdp-platform org.apache.druid:druid-core
icza@scelight org.apache.ant:ant
wlhbdp@bdp-platform io.airlift:bytecode
wlhbdp@bdp-platform org.apache.dubbo:dubbo-common
FasterXML@jackson-datatype-joda io.prestosql:presto-jdbc
thothbot@parallax com.google.gwt:gwt-servlet
SmartDataAnalytics@DL-Learner net.sourceforge.owlapi:owlapi-parsers
FasterXML@jackson-dataformats-text com.fasterxml.jackson.dataformat:jackson-dataformat-csv
antlrjavaparser@antlr-java-parser com.google.code.javaparser:javaparser
goncalomb@NBTEditor org.java-websocket:Java-WebSocket
airlift@slice io.airlift:slice
stateless4j@stateless4j org.alluxio:alluxio-shaded-client
wlhbdp@bdp-platform org.apache.iceberg:iceberg-core
mickleness@pumpernickel org.codehaus.plexus:plexus-archiver
apache@maven-wagon org.apache.maven.wagon:wagon-http-shared
vert-x3@vertx-redis-client io.vertx:vertx-redis-client
wlhbdp@bdp-platform io.debezium:debezium-connector-mysql
Reading-eScience-Centre@edal-java net.sourceforge.plantuml:plantuml
FasterXML@jackson-databind com.googlecode.concurrentlinkedhashmap:concurrentlinkedhashmap-lru
zuihou@lamp-util com.baomidou:mybatis-plus-core
wstrange@GoogleAuth com.warrenstrange:googleauth
yeshodhan@android-jaxb com.sun.xsom:xsom
nutzam@nutz io.airlift:parameternames
yeshodhan@android-jaxb com.sun.xml.bind:jaxb-xjc
wlhbdp@bdp-platform org.apache.druid:druid-hll
vert-x3@vertx-service-discovery io.vertx:vertx-service-discovery-bridge-zookeeper
snowflakedb@snowflake-jdbc net.snowflake:snowflake-jdbc
adlnet@jxapi io.sentry:sentry
xiaoguichao@mr com.lmax:disruptor
vert-x3@vertx-grpc io.vertx:vertx-grpc
apache@directory-server org.apache.directory.server:apacheds-kerberos-codec
apache@maven-wagon org.apache.maven.wagon:wagon-provider-api
jsonld-java@jsonld-java com.github.jsonld-java:jsonld-java
datanucleus@datanucleus-core io.ebean:ebean-agent
swagger-api@swagger-parser io.swagger.parser.v3:swagger-parser-v3
mangstadt@ez-vcard commons-codec:commons-codec
FasterXML@jackson-jaxrs-providers net.sf.ehcache:ehcache
wlhbdp@bdp-platform org.apache.druid:extendedset
assertthat@selenium-shutterbug com.assertthat:selenium-shutterbug
paul-hammant@ngWebDriver com.paulhammant:ngwebdriver
apache@tika com.ibm.icu:icu4j
FasterXML@jackson-databind com.signalfx.public:signalfx-java
lennartkoopmann@nzyme org.graylog2:graylog2-server
mercyblitz@dubbo-registry-nacos org.apache.dubbo:dubbo-registry-nacos
spring-projects@spring-data-geode org.springframework.data:spring-data-geode
protegeproject@mapping-master io.termd:termd-core
majianzheng@jarboot com.alibaba.nacos:nacos-client
Matrix6677@EasyRpc org.apache.dubbo:dubbo-common
datanucleus@datanucleus-core net.tascalate:net.tascalate.asmx
vert-x3@vertx-service-discovery io.vertx:vertx-service-discovery
Reading-eScience-Centre@edal-java edu.ucar:netcdf
radkovo@jStyleParser org.datanucleus:datanucleus-core
apache@maven-assembly-plugin org.apache.maven.shared:maven-shared-io
allgood@OpenCV-3.1.0-Android org.openpnp:opencv
FasterXML@jackson-dataformats-text org.codehaus.jackson:jackson-core-asl
datanucleus@datanucleus-core org.apache.xbean:xbean-asm7-shaded
datanucleus@datanucleus-core org.eclipse.persistence:org.eclipse.persistence.asm
FasterXML@jackson-module-jaxb-annotations com.fasterxml.jackson.module:jackson-module-jaxb-annotations
radkovo@CSSBox org.datanucleus:datanucleus-core
wlhbdp@bdp-platform io.debezium:debezium-connector-oracle
wlhbdp@bdp-platform io.debezium:debezium-connector-mongodb
protegeproject@mapping-master org.freemarker:freemarker
allgood@OpenCV-3.1.0-Android org.bytedeco:opencv
SmartDataAnalytics@DL-Learner org.freemarker:freemarker
apache@james-mime4j com.sun.xsom:xsom
apache@maven-wagon org.apache.maven.wagon:wagon-http-lightweight
wlhbdp@bdp-platform io.debezium:debezium-embedded
jkutner@saferegex regexp:regexp
wlhbdp@bdp-platform io.prestosql:presto-client
jakartaee@rest jakarta.ws.rs:jakarta.ws.rs-api
rnorth@duct-tape org.rnorth.duct-tape:duct-tape
hydromatic@morel org.apache.calcite:calcite-core
allr@purdue-fastr com.googlecode.netlib-java:netlib-java
wlhbdp@bdp-platform io.debezium:debezium-connector-sqlserver
wlhbdp@bdp-platform org.springframework.security:spring-security-core
GateNLP@gate-core taglibs:standard
schibsted@jslt com.schibsted.spt.data:jslt
RTykulsker@JavaBeanstalkClient com.surftools:BeanstalkClient
jakartaee@rest jakarta.platform:jakarta.jakartaee-api
javaee@servlet-spec org.glassfish:javax.servlet
apache@directory-server org.apache.directory.server:apacheds-core-shared
yeshodhan@android-jaxb com.sun.xml.messaging.saaj:saaj-impl
dibo-software@diboot org.apache.shiro:shiro-core
apache@james-mime4j org.apache.james:apache-mime4j-dom
nutzam@nutz org.glassfish.hk2.external:asm-all-repackaged
wlhbdp@bdp-platform io.debezium:debezium-ddl-parser
alibaba@Sentinel com.alibaba.csp:sentinel-core
salesforce@zsync4j org.apache.mina:mina-core
apache@maven-wagon org.apache.maven.wagon:wagon-webdav-jackrabbit
apache@openwebbeans org.apache.openwebbeans:openwebbeans-impl
wlhbdp@bdp-platform com.alibaba.otter:canal.client
protegeproject@mapping-master org.apache.commons:commons-jexl
FasterXML@jackson-databind net.sf.ehcache:ehcache
eclipse-vertx@vertx-sql-client io.vertx:vertx-sql-client-templates
alibaba@Sentinel com.alibaba.csp:sentinel-transport-simple-http
mybatis@migrations org.mybatis:mybatis
wlhbdp@bdp-platform org.apache.flink:flink-table-runtime-blink_2.11
wlhbdp@bdp-platform org.apache.flink:flink-core
wlhbdp@bdp-platform net.spy:spymemcached
SmartDataAnalytics@DL-Learner org.apache.commons:commons-jexl
wlhbdp@bdp-platform io.prestosql:presto-parser
FasterXML@jackson-databind com.fasterxml.jackson.core:jackson-databind
wlhbdp@bdp-platform org.apache.flink:flink-table-common
spring-projects@spring-data-geode org.springframework.data:spring-data-gemfire
mybatis@ibatis-2 org.mybatis:mybatis
eclipse-vertx@vertx-sql-client io.vertx:vertx-sql-client
FasterXML@jackson-jaxrs-providers com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider
nutzam@nutz org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-core
nitram509@jmacaroons eu.neilalexander:jnacl
mybatis@velocity-scripting org.mybatis.scripting:mybatis-velocity
nutzam@nutz asm:asm-all
nutzam@nutz asm:asm
wlhbdp@bdp-platform org.apache.iceberg:iceberg-common
FasterXML@jackson-databind org.alluxio:alluxio-shaded-client
wlhbdp@bdp-platform org.apache.flink:flink-json
OpenHFT@Chronicle-Map net.openhft:chronicle-map
MitchTalmadge@ASCII-Data com.mitchtalmadge:ascii-data
antlr@antlr4 com.tunnelvisionlabs:antlr4-runtime
opendedup@sdfs io.etcd:jetcd-core
wlhbdp@bdp-platform org.elasticsearch:elasticsearch
snowflakedb@snowflake-jdbc org.sonatype.sisu:sisu-guava
apache@openwebbeans org.apache.openwebbeans:openwebbeans-se
apache@maven-wagon org.apache.maven.wagon:wagon-ssh-common
